Line,Station,Opening Date
North South Line,Jurong East,"5 November 1988"
North South Line,Bukit Batok,"10 March 1990"
North South Line,Bukit Gombak,"10 March 1990"
North South Line,Choa Chu Kang,"10 March 1990"
North South Line,Yew Tee,"10 February 1996"
North South Line,Kranji,"10 February 1996"
North South Line,Marsiling,"10 February 1996"
North South Line,Woodlands,"10 February 1996"
North South Line,Admiralty,"10 February 1996"
North South Line,Sembawang,"10 February 1996"
North South Line,Canberra,"2 November 2019"
North South Line,Yishun,"20 December 1988"
North South Line,Khatib,"20 December 1988"
North South Line,Yio Chu Kang,"7 November 1987"
North South Line,Ang Mo Kio,"7 November 1987"
North South Line,Bishan,"7 November 1987"
North South Line,Braddell,"7 November 1987"
North South Line,Toa Payoh,"7 November 1987"
North South Line,Novena,"12 December 1987"
North South Line,Newton,"12 December 1987"
North South Line,Orchard,"12 December 1987"
North South Line,Somerset,"12 December 1987"
North South Line,Dhoby Ghaut,"12 December 1987"
North South Line,City Hall,"12 December 1987"
North South Line,Raffles Place,"12 December 1987"
North South Line,Marina Bay,"4 November 1989"
North South Line,Marina South Pier,"23 November 2014"
East West Line,Pasir Ris,"16 December 1989"
East West Line,Tampines,"16 December 1989"
East West Line,Simei,"16 December 1989"
East West Line,Expo,"10 January 2001"
East West Line,Changi Airport,"8 February 2002"
East West Line,Tanah Merah,"4 November 1989"
East West Line,Bedok,"4 November 1989"
East West Line,Kembangan,"4 November 1989"
East West Line,Eunos,"4 November 1989"
East West Line,Paya Lebar,"4 November 1989"
East West Line,Aljunied,"4 November 1989"
East West Line,Kallang,"4 November 1989"
East West Line,Lavender,"4 November 1989"
East West Line,Bugis,"4 November 1989"
East West Line,City Hall,"12 December 1987"
East West Line,Raffles Place,"12 December 1987"
East West Line,Tanjong Pagar,"12 December 1987"
East West Line,Outram Park,"12 December 1987"
East West Line,Tiong Bahru,"12 March 1988"
East West Line,Redhill,"12 March 1988"
East West Line,Queenstown,"12 March 1988"
East West Line,Commonwealth,"12 March 1988"
East West Line,Buona Vista,"12 March 1988"
East West Line,Dover,"18 October 2001"
East West Line,Clementi,"12 March 1988"
East West Line,Jurong East,"5 November 1988"
East West Line,Chinese Garden,"5 November 1988"
East West Line,Lakeside,"5 November 1988"
East West Line,Boon Lay,"6 July 1990"
East West Line,Pioneer,"28 February 2009"
East West Line,Joo Koon,"28 February 2009"
East West Line,Gul Circle,"18 June 2017"
East West Line,Tuas Crescent,"18 June 2017"
East West Line,Tuas West Road,"18 June 2017"
East West Line,Tuas Link,"18 June 2017"
North East Line,HarbourFront,"20 June 2003"
North East Line,Outram Park,"20 June 2003"
North East Line,Chinatown,"20 June 2003"
North East Line,Clarke Quay,"20 June 2003"
North East Line,Dhoby Ghaut,"20 June 2003"
North East Line,Little India,"20 June 2003"
North East Line,Farrer Park,"20 June 2003"
North East Line,Boon Keng,"20 June 2003"
North East Line,Potong Pasir,"20 June 2003"
North East Line,Woodleigh,"20 June 2011"
North East Line,Serangoon,"20 June 2003"
North East Line,Kovan,"20 June 2003"
North East Line,Hougang,"20 June 2003"
North East Line,Buangkok,"15 January 2006"
North East Line,Sengkang,"20 June 2003"
North East Line,Punggol,"20 June 2003"
North East Line,Punggol Coast,"10 December 2024"
Circle Line,Dhoby Ghaut,"17 April 2010"
Circle Line,Bras Basah,"17 April 2010"
Circle Line,Esplanade,"17 April 2010"
Circle Line,Promenade,"17 April 2010"
Circle Line,Nicoll Highway,"17 April 2010"
Circle Line,Stadium,"17 April 2010"
Circle Line,Mountbatten,"17 April 2010"
Circle Line,Dakota,"17 April 2010"
Circle Line,Paya Lebar,"17 April 2010"
Circle Line,MacPherson,"17 April 2010"
Circle Line,Tai Seng,"17 April 2010"
Circle Line,Bartley,"28 May 2009"
Circle Line,Serangoon,"28 May 2009"
Circle Line,Lorong Chuan,"28 May 2009"
Circle Line,Bishan,"28 May 2009"
Circle Line,Marymount,"28 May 2009"
Circle Line,Caldecott,"8 October 2011"
Circle Line,Botanic Gardens,"8 October 2011"
Circle Line,Farrer Road,"8 October 2011"
Circle Line,Holland Village,"8 October 2011"
Circle Line,Buona Vista,"8 October 2011"
Circle Line,one-north,"8 October 2011"
Circle Line,Kent Ridge,"8 October 2011"
Circle Line,Haw Par Villa,"8 October 2011"
Circle Line,Pasir Panjang,"8 October 2011"
Circle Line,Labrador Park,"8 October 2011"
Circle Line,Telok Blangah,"8 October 2011"
Circle Line,HarbourFront,"8 October 2011"
Circle Line,Bayfront,"14 January 2012"
Circle Line,Marina Bay,"14 January 2012"
Downtown Line,Bukit Panjang,"27 December 2015"
Downtown Line,Cashew,"27 December 2015"
Downtown Line,Hillview,"27 December 2015"
Downtown Line,Hume,"28 February 2025"
Downtown Line,Beauty World,"27 December 2015"
Downtown Line,King Albert Park,"27 December 2015"
Downtown Line,Sixth Avenue,"27 December 2015"
Downtown Line,Tan Kah Kee,"27 December 2015"
Downtown Line,Botanic Gardens,"27 December 2015"
Downtown Line,Stevens,"27 December 2015"
Downtown Line,Newton,"27 December 2015"
Downtown Line,Little India,"27 December 2015"
Downtown Line,Rochor,"27 December 2015"
Downtown Line,Bugis,"22 December 2013"
Downtown Line,Promenade,"22 December 2013"
Downtown Line,Bayfront,"22 December 2013"
Downtown Line,Downtown,"22 December 2013"
Downtown Line,Telok Ayer,"22 December 2013"
Downtown Line,Chinatown,"22 December 2013"
Downtown Line,Fort Canning,"21 October 2017"
Downtown Line,Bencoolen,"21 October 2017"
Downtown Line,Jalan Besar,"21 October 2017"
Downtown Line,Bendemeer,"21 October 2017"
Downtown Line,Geylang Bahru,"21 October 2017"
Downtown Line,Mattar,"21 October 2017"
Downtown Line,MacPherson,"21 October 2017"
Downtown Line,Ubi,"21 October 2017"
Downtown Line,Kaki Bukit,"21 October 2017"
Downtown Line,Bedok North,"21 October 2017"
Downtown Line,Bedok Reservoir,"21 October 2017"
Downtown Line,Tampines West,"21 October 2017"
Downtown Line,Tampines,"21 October 2017"
Downtown Line,Tampines East,"21 October 2017"
Downtown Line,Upper Changi,"21 October 2017"
Downtown Line,Expo,"21 October 2017"
Thomson–East Coast Line,Woodlands North,"31 January 2020"
Thomson–East Coast Line,Woodlands,"31 January 2020"
Thomson–East Coast Line,Woodlands South,"31 January 2020"
Thomson–East Coast Line,Springleaf,"28 August 2021"
Thomson–East Coast Line,Lentor,"28 August 2021"
Thomson–East Coast Line,Mayflower,"28 August 2021"
Thomson–East Coast Line,Bright Hill,"28 August 2021"
Thomson–East Coast Line,Upper Thomson,"28 August 2021"
Thomson–East Coast Line,Caldecott,"28 August 2021"
Thomson–East Coast Line,Stevens,"13 November 2022"
Thomson–East Coast Line,Napier,"13 November 2022"
Thomson–East Coast Line,Orchard Boulevard,"13 November 2022"
Thomson–East Coast Line,Orchard,"13 November 2022"
Thomson–East Coast Line,Great World,"13 November 2022"
Thomson–East Coast Line,Havelock,"13 November 2022"
Thomson–East Coast Line,Outram Park,"13 November 2022"
Thomson–East Coast Line,Maxwell,"13 November 2022"
Thomson–East Coast Line,Shenton Way,"13 November 2022"
Thomson–East Coast Line,Marina Bay,"13 November 2022"
Thomson–East Coast Line,Gardens by the Bay,"13 November 2022"
Thomson–East Coast Line,Tanjong Rhu,"23 June 2024"
Thomson–East Coast Line,Katong Park,"23 June 2024"
Thomson–East Coast Line,Tanjong Katong,"23 June 2024"
Thomson–East Coast Line,Marine Parade,"23 June 2024"
Thomson–East Coast Line,Marine Terrace,"23 June 2024"
Thomson–East Coast Line,Siglap,"23 June 2024"
Thomson–East Coast Line,Bayshore,"23 June 2024"

